POLITICAL_UNIT,NAME,WGMS_ID,GEN_LOCATION,SPEC_LOCATION,LATITUDE,LONGITUDE,PRIM_CLASSIFIC,FORM,FRONTAL_CHARS,EXPOS_ACC_AREA,EXPOS_ABL_AREA,PARENT_GLACIER,REMARKS,GLACIER_REGION_CODE,GLACIER_SUBREGION_CODE
IN,RGI50-14.15605,7023,WESTERN HIMALAYA,LAHAUL SPITI,32.43339,77.3437,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15606,9586,WESTERN HIMALAYA,LAHAUL SPITI,32.40037,77.34499,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15608,9790,WESTERN HIMALAYA,LAHAUL SPITI,32.39281,77.32027,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15609,9795,WESTERN HIMALAYA,LAHAUL SPITI,32.41512,77.3292,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15610,7097,WESTERN HIMALAYA,LAHAUL SPITI,32.39956,77.33271,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15611,7012,WESTERN HIMALAYA,LAHAUL SPITI,32.50456,77.3205,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15612,6960,WESTERN HIMALAYA,LAHAUL SPITI,32.50184,77.32938,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15614,10208,WESTERN HIMALAYA,LAHAUL SPITI,32.47701,77.36477,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15615,9566,WESTERN HIMALAYA,LAHAUL SPITI,32.48346,77.44167,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15616,10289,WESTERN HIMALAYA,LAHAUL SPITI,32.47454,77.28487,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15617,10249,WESTERN HIMALAYA,LAHAUL SPITI,32.47803,77.2838,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15618,10145,WESTERN HIMALAYA,LAHAUL SPITI,32.49638,77.2768,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15619,9848,WESTERN HIMALAYA,LAHAUL SPITI,32.4944,77.28101,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15620,9990,WESTERN HIMALAYA,LAHAUL SPITI,32.50626,77.27728,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15621,9875,WESTERN HIMALAYA,LAHAUL SPITI,32.50816,77.27442,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15622,7265,WESTERN HIMALAYA,LAHAUL SPITI,32.47795,77.22478,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15623,7114,WESTERN HIMALAYA,LAHAUL SPITI,32.4964,77.24136,6,2,9,,,,,ASW,ASW-03
IN,RGI50-14.15624,7129,WESTERN HIMALAYA,LAHAUL SPITI,32.46125,77.3866,6,2,9,,,,,ASW,ASW-03
IN,RGI50-14.15625,7295,WESTERN HIMALAYA,LAHAUL SPITI,32.49232,77.19538,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15626,10313,WESTERN HIMALAYA,LAHAUL SPITI,32.48336,77.19734,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15627,9871,WESTERN HIMALAYA,LAHAUL SPITI,32.5257,77.24503,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15628,10103,WESTERN HIMALAYA,LAHAUL SPITI,32.48511,77.50403,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15629,9471,WESTERN HIMALAYA,LAHAUL SPITI,32.49041,77.49892,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15630,9654,WESTERN HIMALAYA,LAHAUL SPITI,32.4923,77.51169,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15631,7248,WESTERN HIMALAYA,LAHAUL SPITI,32.47726,77.51044,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15632,10131,WESTERN HIMALAYA,LAHAUL SPITI,32.46994,77.52555,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15633,7224,WESTERN HIMALAYA,LAHAUL SPITI,32.46262,77.50223,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15634,7168,WESTERN HIMALAYA,LAHAUL SPITI,32.36914,77.36159,6,2,9,,,,,ASW,ASW-03
IN,RGI50-14.15635,10293,WESTERN HIMALAYA,LAHAUL SPITI,32.48543,77.18768,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15636,10192,WESTERN HIMALAYA,LAHAUL SPITI,32.55392,77.17805,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15637,7219,WESTERN HIMALAYA,LAHAUL SPITI,32.55987,77.16569,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15638,7277,WESTERN HIMALAYA,LAHAUL SPITI,32.54264,77.1461,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15639,6907,WESTERN HIMALAYA,LAHAUL SPITI,32.52962,77.32095,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15640,9514,WESTERN HIMALAYA,LAHAUL SPITI,32.52839,77.32621,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15641,10176,WESTERN HIMALAYA,LAHAUL SPITI,32.5275,77.33708,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15642,10310,WESTERN HIMALAYA,LAHAUL SPITI,32.52031,77.3579,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15643,7102,WESTERN HIMALAYA,LAHAUL SPITI,32.51521,77.33237,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15644,7298,WESTERN HIMALAYA,LAHAUL SPITI,32.47733,77.31599,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15645,9976,WESTERN HIMALAYA,LAHAUL SPITI,32.48121,77.30072,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15646,9969,WESTERN HIMALAYA,LAHAUL SPITI,32.44055,77.2604,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15647,7167,WESTERN HIMALAYA,LAHAUL SPITI,32.4661,77.32179,6,2,9,,,,,ASW,ASW-03
IN,RGI50-14.15648,9721,WESTERN HIMALAYA,LAHAUL SPITI,32.32711,77.46539,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15649,9949,WESTERN HIMALAYA,LAHAUL SPITI,32.32053,77.53776,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15650,9757,WESTERN HIMALAYA,LAHAUL SPITI,32.12397,77.75588,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15651,6903,WESTERN HIMALAYA,LAHAUL SPITI,32.17145,77.73476,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15652,9805,WESTERN HIMALAYA,LAHAUL SPITI,32.20373,77.70853,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15653,9893,WESTERN HIMALAYA,LAHAUL SPITI,32.20803,77.71189,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15654,7145,WESTERN HIMALAYA,LAHAUL SPITI,32.22124,77.72676,6,2,9,,,,,ASW,ASW-03
IN,RGI50-14.15655,10255,WESTERN HIMALAYA,LAHAUL SPITI,32.23668,77.71674,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15656,7351,WESTERN HIMALAYA,LAHAUL SPITI,32.23099,77.71542,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15657,7394,WESTERN HIMALAYA,LAHAUL SPITI,32.24043,77.71507,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15658,7134,WESTERN HIMALAYA,LAHAUL SPITI,32.25006,77.68104,6,2,9,,,,,ASW,ASW-03
IN,RGI50-14.15659,9874,WESTERN HIMALAYA,LAHAUL SPITI,32.2821,77.73305,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15660,9602,WESTERN HIMALAYA,LAHAUL SPITI,32.29349,77.67416,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15661,10014,WESTERN HIMALAYA,LAHAUL SPITI,32.28595,77.6686,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15662,10203,WESTERN HIMALAYA,LAHAUL SPITI,32.24919,77.71277,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15663,7306,WESTERN HIMALAYA,LAHAUL SPITI,32.26091,77.72013,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15664,7210,WESTERN HIMALAYA,LAHAUL SPITI,32.2898,77.71106,6,3,9,,,,,ASW,ASW-03
